start	end	length	IDY	missing1	missing2	
839	907	68	0.2941	0.0	0.0	
908	920	12	0.3333	0.0	0.0	
921	926	5	0.2	0.0	0.0	
10392	10414	22	0.1818	0.0	0.0	
10415	10438	23	0.2174	0.0	0.0	
10445	10468	23	0.3913	0.0	0.0	
10469	10486	17	0.1176	0.0	0.0	
10488	10501	13	0.2308	0.0	0.0	
10502	10511	9	0.3333	0.0	0.0	
10516	10527	11	0.3636	0.0	0.0	
10530	10565	35	0.2	0.0	0.0	
10566	10579	13	0.2308	0.0	0.0	
10710	10723	13	0.3846	0.0	0.0	
10726	10746	20	0.15	0.0	0.0	
10747	10784	37	0.1892	0.0	0.0	
10788	10806	18	0.2222	0.0	0.0	
10814	10819	5	0.2	0.0	0.0	
10820	10851	31	0.2581	0.0	0.0	
10852	10888	36	0.2778	0.0	0.0	
10890	10915	25	0.2	0.0	0.0	
33082	33104	22	0.2273	0.0	0.0	
33124	33144	20	0.4	0.0	0.0	
33145	33183	38	0.2368	0.0	0.0	
33107	33122	15	0.3333	0.0	0.0	
33200	33342	142	0.2606	0.0	0.0	
69706	69711	5	0.2	0.0	0.0	
69744	69776	32	0.25	0.0	0.0	
69781	69803	22	0.0909	0.0	0.0	
69712	69743	31	0.3548	0.0	0.0	
78997	79015	18	0.1667	0.0	0.0	
79016	79038	22	0.1818	0.0	0.0	
79039	79068	29	0.1379	0.0	0.0	
79070	79094	24	0.3333	0.0	0.0	
79099	79139	40	0.275	0.0	0.0	
89359	89377	18	0.3333	0.0	0.0	
89378	89417	39	0.1795	0.0	0.0	
89422	89456	34	0.2647	0.0	0.0	
89460	89485	25	0.2	0.0	0.0	
89487	89504	17	0.1765	0.0	0.0	
159057	159110	53	0.6981	0.0	0.0	
159112	159127	15	0.6667	0.0	0.0	
167061	167117	56	0.8393	0.0	0.0	
170789	170808	19	0.6316	0.0	0.0	
170810	170827	17	0.5294	0.0	0.0	
170830	170860	30	0.8667	0.0	0.0	
172366	172396	30	0.9333	0.0	0.0	
172401	172417	16	0.5625	0.0	0.0	
172419	172446	27	0.5926	0.0	0.0	
172449	172487	38	0.5	0.0	0.0	
252075	252103	28	0.9643	0.0	0.0	
252111	252122	11	1.0	0.0	0.0	
252125	252209	84	0.881	0.0	0.0	
252020	252074	54	0.7778	0.0	0.0	
252210	252227	17	0.5294	0.0	0.0	
660354	660391	37	0.5946	0.0	0.0	
660321	660353	32	0.9062	0.0	0.0	
671997	672021	24	0.4583	0.0	0.0	
672024	672031	7	0.8571	0.0	0.0	
672032	672068	36	0.5833	0.0	0.0	
671944	671993	49	0.5102	0.0	0.0	
701829	701864	35	0.5714	0.0	0.0	
701869	701886	17	0.5882	0.0	0.0	
701790	701828	38	0.5526	0.0	0.0	
730879	730887	8	0.5	0.0	0.0	
730889	730936	47	0.5106	0.0	0.0	
730937	730971	34	0.4706	0.0	0.0	
730972	730988	16	0.5625	0.0	0.0	
730997	731002	5	0.8	0.0	0.0	
731004	731021	17	0.5882	0.0	0.0	
731679	731702	23	0.5217	0.0	0.0	
731703	731713	10	0.6	0.0	0.0	
731720	731751	31	0.5161	0.0	0.0	
731753	731797	44	0.4545	0.0	0.0	
731798	731801	3	1.0	0.0	0.0	
732655	732726	71	0.8028	0.0	0.0	
732733	732740	7	1.0	0.0	0.0	
732741	732767	26	0.9231	0.0	0.0	
732923	732967	44	0.5	0.0	0.0	
732970	733020	50	0.58	0.0	0.0	
733023	733027	4	1.0	0.0	0.0	
733030	733035	5	0.8	0.0	0.0	
733036	733044	8	0.875	0.0	0.0	
733045	733051	6	0.6667	0.0	0.0	
733054	733067	13	0.6923	0.0	0.0	
733068	733076	8	0.75	0.0	0.0	
733079	733090	11	0.6364	0.0	0.0	
733091	733100	9	0.6667	0.0	0.0	
741514	741551	37	0.3514	0.0	0.0	
741553	741565	12	0.1667	0.0	0.0	
741566	741571	5	0.4	0.0	0.0	
751303	751336	33	0.3939	0.0	0.0	
751338	751363	25	0.16	0.0	0.0	
754239	754303	64	0.4062	0.0	0.0	
756712	756759	47	0.4043	0.0	0.0	
756761	756780	19	0.2105	0.0	0.0	
756791	756803	12	0.1667	0.0	0.0	
756804	756840	36	0.25	0.0	0.0	
756841	756855	14	0.4286	0.0	0.0	
756859	756871	12	0.4167	0.0	0.0	
756872	756894	22	0.2727	0.0	0.0	
756896	756916	20	0.25	0.0	0.0	
780263	780313	50	0.2	0.0	0.0	
798785	798806	21	0.1429	0.0	0.0	
798811	798825	14	0.1429	0.0	0.0	
798826	798846	20	0.05	0.0	0.0	
798847	798877	30	0.2333	0.0	0.0	
798878	798894	16	0.25	0.0	0.0	
798896	798902	6	0.3333	0.0	0.0	
815562	815586	24	0.2083	0.0	0.0	
815588	815616	28	0.2143	0.0	0.0	
815617	815646	29	0.4138	0.0	0.0	
824723	824743	20	0.25	0.0	0.0	
824748	824765	17	0.2941	0.0	0.0	
824766	824783	17	0.3529	0.0	0.0	
824786	824798	12	0.3333	0.0	0.0	
866199	866221	22	0.3182	0.0	0.0	
866223	866238	15	0.1333	0.0	0.0	
866245	866297	52	0.2885	0.0	0.0	
866300	866312	12	0.5	0.0	0.0	
866317	866332	15	0.1333	0.0	0.0	
866333	866357	24	0.25	0.0	0.0	
866368	866419	51	0.3333	0.0	0.0	
866427	866459	32	0.375	0.0	0.0	
874945	874990	45	0.3556	0.0	0.0	
874997	875038	41	0.3659	0.0	0.0	
875039	875057	18	0.4444	0.0	0.0	
875058	875112	54	0.1667	0.0	0.0	
875116	875140	24	0.2083	0.0	0.0	
875142	875178	36	0.3611	0.0	0.0	
880762	880810	48	0.1875	0.0	0.0	
880812	880836	24	0.4167	0.0	0.0	
891926	891945	19	0.3158	0.0	0.0	
891946	891962	16	0.1875	0.0	0.0	
891964	891994	30	0.2333	0.0	0.0	
891996	892016	20	0.2	0.0	0.0	
892017	892027	10	0.4	0.0	0.0	
892029	892036	7	0.2857	0.0	0.0	
892041	892062	21	0.1429	0.0	0.0	
892063	892100	37	0.1622	0.0	0.0	
892101	892105	4	0.25	0.0	0.0	
892636	892650	14	0.2857	0.0	0.0	
892651	892664	13	0.4615	0.0	0.0	
892666	892673	7	0.5714	0.0	0.0	
892674	892695	21	0.4286	0.0	0.0	
892696	892724	28	0.25	0.0	0.0	
902236	902277	41	0.3659	0.0	0.0	
902279	902304	25	0.36	0.0	0.0	
902306	902307	1	0.0	0.0	0.0	
902310	902313	3	0.3333	0.0	0.0	
902314	902316	2	0.0	0.0	0.0	
902323	902326	3	0.3333	0.0	0.0	
902328	902330	2	0.0	0.0	0.0	
902338	902343	5	0.2	0.0	0.0	
902344	902361	17	0.3529	0.0	0.0	
902362	902421	59	0.3559	0.0	0.0	
902422	902537	115	0.2609	0.0	0.0	
902541	902584	43	0.3721	0.0	0.0	
920441	920458	17	0.2353	0.0	0.0	
920410	920439	29	0.3103	0.0	0.0	
920459	920477	18	0.4444	0.0	0.0	
920479	920486	7	0.5714	0.0	0.0	
920489	920514	25	0.2	0.0	0.0	
920515	920523	8	0.25	0.0	0.0	
920531	920545	14	0.4286	0.0	0.0	
920546	920566	20	0.25	0.0	0.0	
920567	920586	19	0.2632	0.0	0.0	
923810	923842	32	0.2188	0.0	0.0	
923847	923851	4	0.5	0.0	0.0	
923853	923870	17	0.2941	0.0	0.0	
923871	923907	36	0.1667	0.0	0.0	
923911	923932	21	0.381	0.0	0.0	
923937	923959	22	0.1364	0.0	0.0	
923960	923991	31	0.2903	0.0	0.0	
926719	926729	10	0.1	0.0	0.0	
926732	926766	34	0.2353	0.0	0.0	
926769	926799	30	0.3333	0.0	0.0	
926800	926809	9	0.1111	0.0	0.0	
930957	930965	8	0.0	0.0	0.0	
930966	931007	41	0.439	0.0	0.0	
937391	937397	6	0.6667	0.0	0.0	
937398	937418	20	0.3	0.0	0.0	
937419	937440	21	0.3333	0.0	0.0	
937446	937483	37	0.2703	0.0	0.0	
937486	937499	13	0.3077	0.0	0.0	
937500	937525	25	0.28	0.0	0.0	
937526	937531	5	0.4	0.0	0.0	
937532	937543	11	0.3636	0.0	0.0	
938728	938766	38	0.3158	0.0	0.0	
938767	938776	9	0.3333	0.0	0.0	
938777	938786	9	0.4444	0.0	0.0	
938788	938809	21	0.0476	0.0	0.0	
938810	938825	15	0.3333	0.0	0.0	
938829	938833	4	0.0	0.0	0.0	
938835	938865	30	0.3667	0.0	0.0	
938869	938911	42	0.3333	0.0	0.0	
938918	939053	135	0.6074	0.0	0.0	
939054	939065	11	0.9091	0.0	0.0	
939066	939067	1	1.0	0.0	0.0	
939068	939074	6	1.0	0.0	0.0	
939075	939076	1	1.0	0.0	0.0	
939081	939084	3	1.0	0.0	0.0	
939085	939086	1	1.0	0.0	0.0	
939087	939089	2	0.5	0.0	0.0	
939090	939091	1	1.0	0.0	0.0	
939092	939100	8	1.0	0.0	0.0	
939101	939102	1	1.0	0.0	0.0	
939103	939104	1	1.0	0.0	0.0	
939105	939106	1	1.0	0.0	0.0	
939107	939108	1	1.0	0.0	0.0	
939109	939110	1	1.0	0.0	0.0	
939126	939131	5	1.0	0.0	0.0	
939132	939135	3	1.0	0.0	0.0	
939136	939137	1	1.0	0.0	0.0	
939151	939172	21	0.9524	0.0	0.0	
939173	939174	1	1.0	0.0	0.0	
939177	939179	2	1.0	0.0	0.0	
939180	939264	84	0.8452	0.0	0.0	
939265	939357	92	0.9565	0.0	0.0	
939358	939361	3	1.0	0.0	0.0	
939372	939380	8	0.875	0.0	0.0	
939386	939388	2	0.5	0.0	0.0	
939391	939395	4	0.5	0.0	0.0	
939399	939400	1	1.0	0.0	0.0	
939401	939423	22	0.7273	0.0	0.0	
939424	939446	22	1.0	0.0	0.0	
939447	939453	6	1.0	0.0	0.0	
939454	939457	3	1.0	0.0	0.0	
939458	939491	33	0.8788	0.0	0.0	
939492	939497	5	0.4	0.0	0.0	
939498	939501	3	1.0	0.0	0.0	
939502	939504	2	1.0	0.0	0.0	
939505	939508	3	0.3333	0.0	0.0	
939509	939515	6	0.8333	0.0	0.0	
939516	939518	2	1.0	0.0	0.0	
939519	939520	1	1.0	0.0	0.0	
939521	939529	8	0.5	0.0	0.0	
939530	939532	2	1.0	0.0	0.0	
