2 (source)	c
1223	939895
5751	944977
6882	946125
7651	949514
7805	949668
8097	949960
8717	950585
9213	951674
12035	956929
14696	962932
15619	964559
16547	966408
20195	973125
21161	977629
23059	983374
24618	985699
25529	987950
25974	990300
27368	993319
28829	995409
30855	999409
31528	1001095
35250	1009141
37219	1011340
41244	1017356
45922	1026817
46595	1027773
47326	1028504
48691	1030384
49287	1032532
49552	1033333
50891	1035217
51634	1036373
52539	1038329
54133	1042212
54692	1044494
55319	1046290
58542	1051333
62054	1056415
63204	1057875
64318	1061800
65162	1062861
70047	1068430
70930	1069430
74632	1075696
74693	1075757
74694	1075758
75184	1076248
75189	1076253
75339	1076403
75793	1077443
76050	1078221
77033	1080846
83399	1094709
84129	1095483
86333	1099658
87880	1110898
88894	1113428
89935	1114689
92883	1121268
94994	1123379
97555	1126125
98685	1127511
100263	1129756
101773	1132141
102693	1135122
103413	1136370
103417	1136374
103447	1136404
103563	1136520
106783	1140307
109343	1145135
109356	1145148
112444	1149563
115354	1156774
118189	1160973
118636	1181370
119304	1183216
122216	1187712
133797	1206800
135266	1208384
136664	1210069
137428	1217779
139206	1220256
141427	1223178
144319	1229637
147223	1232928
151408	1237367
153333	1240290
153342	1240299
153343	1240300
153352	1240309
153354	1240311
153357	1240314
153358	1240315
153368	1240325
153373	1240330
153376	1240333
153405	1240362
153423	1240380
155512	1243051
157349	1245504
159741	1249326
160644	1251143
162007	1252673
162826	1254306
164154	1256324
168158	1261826
170615	1265173
174038	1270102
174275	1270351
175104	1272132
175425	1275370
175767	1275712
176679	1276624
178909	1279148
183527	1287464
184915	1289306
185752	1290483
185757	1290488
185769	1290500
185786	1290517
185791	1290522
187010	1293004
194372	1303781
197408	1309356
199993	1313604
200018	1313629
203034	1319262
203062	1319290
205602	1322833
205920	1323489
205936	1323505
208464	1326957
211287	1333088
212626	1335582
214373	1338932
216682	1341765
217240	1343099
218219	1344224
219831	1347894
221474	1356064
224535	1366750
227271	1373391
228359	1374799
238849	1387182
239740	1388111
241622	1390157
243291	1392920
245838	1396872
246482	1397768
247192	1400103
248093	1401397
253649	1408934
259192	1415973
262580	1421528
264407	1425214
265136	1427125
265504	1429513
267750	1432664
268780	1434229
269559	1435627
270039	1436107
271358	1437910
273919	1442319
275518	1445714
277103	1449183
281569	1456178
281584	1456193
281610	1456219
281617	1456226
281628	1456237
281697	1456306
281953	1456578
284227	1459395
286972	1465212
287970	1466312
289344	1468135
290406	1471033
291743	1473352
293338	1476733
294444	1479358
297909	1484362
303761	1492940
306309	1496315
307308	1497346
308233	1498717
308818	1499557
309767	1501684
312159	1505088
314796	1508623
315235	1510100
318425	1516969
321737	1521217
325866	1527121
326148	1527947
326958	1529842
329416	1533551
335042	1543449
335870	1546766
338481	1550526
341201	1554874
341862	1556137
343330	1557990
349922	1565231
351984	1568229
352767	1570133
353622	1572408
355302	1576153
355657	1578152
360701	1584138
362822	1586630
