1 (source)	c
1	1
2869	2870
3279	3280
4103	11036
4302	11235
4315	11248
5095	12028
6504	13437
8029	14962
11367	18300
13303	20236
13339	20272
13376	20309
15619	22552
16057	22990
16087	23020
17088	24021
17744	24677
18391	25324
18516	25449
19985	26918
22675	33348
22723	33396
24998	35671
25980	36653
26071	36744
26477	37150
27825	38498
29918	40591
30400	41073
31201	41874
31500	42173
32338	43011
32680	43353
39939	50612
40287	50960
40329	51002
40386	51059
40553	69720
43115	72282
43211	72378
43245	72412
43637	72804
43788	72955
43946	73113
46661	80243
48750	82332
50318	89866
51362	90910
51431	90979
52572	92120
52961	92509
53107	92655
53276	92824
55428	94976
58140	97688
58235	97783
58529	98077
58619	98167
59844	99392
60551	100099
61464	101012
62807	102355
62816	102364
63593	103141
63620	103168
64800	104348
67661	107209
68521	108069
69238	108786
69556	109104
71218	110766
71373	110921
72411	111959
73231	112779
73998	113546
78944	118492
78972	118520
79063	118611
79875	119423
79964	119512
80109	119657
82641	122189
83141	122689
84133	123681
84140	123688
84420	123968
84491	124039
84778	124326
85136	124684
85741	125289
85804	125352
89926	129474
91576	131124
92212	131760
93196	132744
93621	133169
94371	133919
94602	134150
95228	134776
95551	135099
96082	135630
96100	135648
96204	135752
96388	135936
96481	136029
98887	138435
99056	138604
103965	143513
104059	143607
104636	144184
105120	144668
106825	146373
106949	146497
106984	146532
107284	146832
108240	147788
108363	147911
108398	147946
108707	148255
109046	148594
109195	148743
109340	148888
110341	149889
110383	149931
110497	150045
111067	150615
112063	151611
113223	152771
118460	158008
120036	159586
123908	163458
123976	163526
124504	164054
125161	164711
126294	165844
126468	166018
126840	167399
129040	169599
129082	169641
129554	171207
130507	172160
-131774	301712
-135395	298091
-135432	298054
-141799	291687
-142394	291092
-142425	291061
-146637	286849
-148531	284955
-149019	284467
-150862	282624
-150869	282617
-152350	281136
-152763	280723
-153268	280218
-153358	280128
-153495	279991
-153719	279767
-153758	279728
-153996	279490
-154284	279202
-155823	277663
-156510	276976
-156938	276548
-158261	275225
-159294	274192
-159404	274082
-159956	273530
-160823	272663
-163642	269844
-164792	268694
-169512	263974
-171251	262235
-171275	262211
-171635	261851
-172137	261349
-175728	257758
-176455	257031
-178000	255486
-178978	254508
-179047	254439
-180319	253167
-181273	252213
-181992	187811
-185003	184800
-185892	183911
-185942	183861
-186946	182857
-187005	182798
-187268	182535
-191421	178382
-192186	177617
-195895	173908
-196292	173511
197918	660876
198404	661362
200017	662975
200556	663514
206533	674936
207230	675633
213406	702971
215514	705079
216981	706546
217008	706573
217531	707096
218311	707876
218654	708219
222432	711997
229204	718769
230500	720065
231889	721454
231920	721485
232312	721877
232368	721933
232735	722300
233037	722602
234644	732178
234754	732288
234909	732818
235093	733109
235358	733374
239325	737341
239639	737655
240150	738166
240859	738875
241404	739420
241424	739440
243940	741957
243951	741968
243990	742007
246774	744791
246869	744886
247450	745467
247474	745491
248117	746134
248137	746154
250353	748370
252481	751554
253424	752497
254903	754577
256367	757259
257522	758414
257990	758882
257997	758889
258050	758942
260052	760944
260073	760965
260134	761026
261295	762187
262693	763585
262893	763785
266149	767041
273115	774007
273217	780327
273376	780486
