1 (source)	c
4356	11289
5116	12049
15653	22586
30470	41143
30519	41192
31271	41944
32581	43254
40735	69902
43248	72415
46755	80337
47990	81572
51825	91373
58365	97913
60727	100275
63669	103217
69483	109031
72411	111959
72645	112193
79076	118624
79338	118886
79350	118898
80405	119953
83208	122756
83707	123255
86024	125572
95257	134805
95374	134922
107050	146598
107089	146637
108462	148010
108500	148048
109072	148620
111167	150715
112083	151631
118561	158109
123948	163498
125528	165078
125602	165152
127530	168089
129110	169669
129139	169698
129177	170827
-131809	301677
-131841	301645
-135624	297862
-153765	279721
-153861	279625
-156959	276527
-158286	275200
-158533	274953
-158588	274898
-159393	274093
-160939	272547
-163638	269848
-163733	269753
-171289	262197
-176606	256880
-180561	252925
-185947	183856
198074	661032
198730	661688
200138	663096
200404	663362
217009	706574
217525	707090
217605	707170
218713	708278
222542	712107
230587	720152
232332	721897
232787	722352
232790	722355
232810	722375
233239	722804
233717	730959
241508	739524
247569	745586
247689	745706
256500	757392
257525	758417
257630	758522
262772	763664
275472	782582
280371	787481
280471	787581
283616	801335
287780	805499
300106	820470
300135	820499
300254	824726
311685	836166
322566	847047
326048	850529
326096	850577
326199	850680
333588	858069
333666	858147
333805	858286
333841	858322
344537	882211
352458	895559
352491	895592
352588	896338
354103	897853
358483	902233
360144	903898
365444	909198
365507	909261
365617	909371
375273	930985
375588	931300
380324	939307
381488	945864
381884	946277
384915	950419
385943	951523
388379	954112
393784	960620
393880	960716
394226	961423
396603	964100
398317	966052
400906	968698
408074	977252
412127	981904
414159	984646
416770	987641
417989	988894
418004	988909
419002	989907
421090	992521
422451	993983
425398	997301
428279	1000995
428438	1001159
428575	1001313
429430	1002229
434983	1010695
437159	1012929
437790	1017223
444178	1026637
445541	1029543
447950	1032396
448772	1033283
449390	1033956
450808	1035581
452761	1037834
455980	1041547
456400	1042106
458567	1044433
460042	1046088
463552	1052195
471075	1060936
471968	1062666
473170	1068262
473681	1069334
475823	1072165
479964	1078133
480836	1079156
480873	1079193
480973	1079293
482245	1080642
484296	1083113
490210	1089945
491063	1090798
494019	1093754
494072	1093807
494629	1095346
495770	1096491
498527	1100337
500503	1102313
501576	1103386
504732	1106542
505082	1106892
507615	1110539
509226	1112407
509588	1112769
509690	1112871
511848	1115942
515030	1125459
516136	1127272
516713	1127849
516747	1128342
517212	1129577
517594	1129959
517877	1130313
521685	1134670
522635	1135716
522990	1136131
533040	1152306
533098	1152364
536902	1156687
538012	1158730
540007	1161225
546022	1167245
553103	1174326
553186	1174409
553562	1174785
553640	1174863
554517	1175740
558308	1179531
558953	1180176
561139	1183165
562031	1185200
564631	1191567
564707	1191643
566928	1194554
567168	1194794
567215	1195050
572180	1202561
576633	1209104
584250	1217250
584594	1217594
585817	1220161
588129	1225024
588670	1225565
588705	1225600
590842	1228689
592018	1230061
595530	1237119
596877	1238741
600763	1243256
600831	1243324
601099	1243652
604542	1247398
607199	1250536
608843	1252532
609494	1253225
611226	1255291
612769	1257107
616866	1262701
620658	1267070
621563	1268338
624356	1271984
627699	1277340
631189	1281196
631925	1281932
632877	1286068
634562	1288030
637591	1291879
638208	1292942
638485	1293224
638550	1293289
638929	1293668
639695	1294434
640260	1296187
645431	1302262
650714	1309078
651786	1310165
652650	1311315
658917	1322033
659236	1322648
659818	1324195
663094	1328800
663118	1328824
665742	1332026
665789	1332073
666174	1333018
667745	1334853
668587	1335910
670110	1337854
670120	1337864
670425	1338203
671881	1341629
673201	1342984
673750	1344104
676058	1346639
681183	1352571
683775	1355402
685113	1357155
685816	1357858
690923	1362965
692057	1364703
693958	1366979
698444	1373277
699149	1374020
700146	1375022
700514	1375527
710763	1388734
712292	1390502
712448	1390658
713345	1391696
715630	1394124
718865	1397626
720904	1399807
722142	1401478
724243	1406827
726505	1410358
732823	1417960
738276	1424714
738880	1425432
739064	1425616
740174	1427043
740395	1427268
741992	1428865
745195	1433441
747124	1437677
749320	1440606
750951	1442724
752596	1445102
755346	1448632
757657	1451185
762487	1458323
765506	1461663
768754	1465726
769890	1466933
773001	1470624
774825	1473067
776472	1474933
778367	1477580
778502	1477715
779784	1479210
780754	1480286
785335	1485794
786567	1489801
788284	1491561
788415	1491697
790744	1497064
791497	1497874
792960	1499439
794629	1501522
795472	1502399
798775	1508371
800236	1509969
802013	1511825
802047	1511859
803039	1512851
803107	1512919
803225	1513037
804305	1514259
808060	1518476
810443	1521387
811662	1524469
814228	1527873
815229	1529017
817216	1531566
819262	1533985
821233	1536222
821317	1536306
823199	1538501
824180	1541917
828221	1546274
831015	1549534
832641	1551484
835489	1555191
836259	1556075
837237	1557802
838063	1563295
840319	1565860
843688	1570055
844153	1570531
844435	1570889
845366	1571931
848006	1575068
848413	1575523
850929	1579189
850931	1579191
850932	1579192
850957	1579217
851139	1579399
851493	1579753
851591	1580128
856117	1586271
856921	1587704
857573	1588389
857618	1588436
858748	1589602
865982	1609990
867304	1613173
868906	1615010
871267	1617761
873338	1620313
873865	1620858
876932	1625267
879008	1627830
879304	1629828
880508	1631342
881622	1632456
881692	1632526
882129	1632963
886100	1642371
886687	1644116
887647	1645284
891134	1649594
893352	1652635
893448	1652731
893713	1655067
898064	1660213
898456	1660605
899256	1661930
902892	1666820
904088	1668198
905230	1670019
906570	1671359
906607	1671396
907073	1672715
910639	1677072
911716	1678267
919619	1687901
922384	1691288
923239	1692143
924197	1693101
924740	1694257
928536	1699410
928911	1700126
931176	1702954
931851	1704109
932980	1706612
934117	1708511
936331	1711779
937521	1713116
938028	1714094
947867	1726194
948896	1727257
953036	1731854
956729	1735840
957187	1736609
958838	1738486
958859	1738507
959462	1739188
962657	1743694
963172	1744704
963963	1745648
967842	1750493
971159	1754289
972953	1756298
974989	1758730
977098	1760899
987652	1772790
990068	1775407
990934	1776467
990974	1776507
991719	1777406
991800	1777487
991891	1777578
992408	1778248
994443	1780514
997039	1783836
1003067	1791371
1003945	1792369
1004789	1793383
1005451	1794149
1007302	1796279
-1010805	1805100
-1011827	1804074
1013227	1806268
1014365	1807439
1014409	1807483
1017318	1810563
1018504	1812100
1019270	1813022
1019820	1814136
1026989	1831214
1030339	1834901
1030991	1835820
1031303	1836138
1032224	1837331
1033205	1838472
1034019	1839458
1036633	1843383
1038910	1845932
1040064	1847280
1040778	1847994
1042022	1849261
1042103	1849342
1043484	1851500
1045067	1853778
1045196	1853907
1046487	1855293
1048266	1857870
1050494	1860266
1051326	1861357
1052688	1862915
1053270	1864025
1057163	1868831
1060342	1873252
1063022	1876564
1063901	1877562
1064850	1878722
1065916	1880028
1065957	1880069
1066806	1881540
1068678	1884022
1070502	1886378
1071784	1892130
1073288	1893788
1074901	1896026
1075823	1897119
1080462	1902358
1080840	1902768
1081463	1903430
1082474	1904611
1083691	1906031
1085437	1909797
1087118	1911720
1089152	1914261
1090876	1916171
1092294	1917939
1092831	1918490
1092860	1918519
1092942	1918601
1093157	1918816
1094068	1919884
1095159	1921463
1095732	1922072
1095976	1922393
1098503	1928853
1101416	1932061
1103490	1934348
1105550	1936672
1106256	1937876
1107970	1941017
1109104	1942224
1109134	1942254
1109138	1942258
1109372	1942522
1111853	1945569
1112820	1946785
1114449	1948756
1115254	1950260
1116151	1951476
1116488	1951832
1117790	1953200
1121597	1957860
1122141	1958423
1122899	1959278
1123769	1960225
1123839	1960295
1124598	1961137
1124600	1961139
1124601	1961140
1124626	1961165
1125492	1962045
1128130	1964972
1130663	1968241
1131086	1968762
1131919	1969666
1132630	1971420
1134834	1974646
1136080	1976302
1139098	1980337
1141112	1985050
1145473	1993791
1149785	1998670
1149859	1998744
1150465	2000088
1153794	2005989
1157936	2010623
1159247	2012462
1159368	2012583
1159528	2012743
1160246	2014799
1162128	2016809
1164423	2020479
1164491	2020547
1164835	2020937
1168838	2025278
1169565	2027978
1173098	2031992
1173566	2032775
1175423	2035512
1176875	2037248
1177292	2037737
1179681	2040310
1179710	2040339
1180175	2040937
1185973	2047582
1186999	2048760
1192257	2055009
1194037	2057134
1198281	2061710
1198719	2062200
1198753	2062234
1199371	2062852
1200216	2064361
1207651	2072510
1211495	2076708
1212741	2078142
1215562	2081437
1215881	2081760
1217979	2084067
1218243	2084469
1222021	2089929
1229403	2099286
1229921	2100232
1230133	2100449
1230264	2100580
1231204	2101745
1234802	2106616
1235991	2108130
1236639	2108873
1238614	2111613
1241896	2115638
1241930	2115672
1242971	2117874
1243818	2118788
1248888	2124462
1248932	2124506
1249094	2124691
1253835	2129863
1256144	2132817
1257617	2134571
1258480	2135604
1258512	2135636
1258899	2136107
1260401	2138454
1263551	2142224
1266578	2145430
1267190	2146222
1269656	2149021
1271872	2151800
1272627	2152650
1273631	2154158
1279066	2163121
1282362	2168387
1284142	2170231
1285580	2174200
1287041	2175814
1287126	2175899
1287500	2176273
1288225	2176998
1290968	2179741
1292365	2181138
1294496	2183269
1299121	2197366
1299341	2197586
1301025	2199270
1302095	2200340
1302731	2200976
1302816	2201061
1303190	2201435
1303915	2202160
1306663	2204908
1308057	2206302
1310188	2208433
1315025	2213270
1316709	2216697
1317776	2217775
1318138	2218137
1319736	2220366
1321575	2222716
1324078	2225518
1325801	2227420
1327031	2228650
1327121	2228740
1327785	2229404
1328461	2230602
1331484	2233843
1331562	2233921
1332512	2234871
1335995	2239043
1337757	2241060
1339734	2243440
1340222	2244286
1342192	2246478
1344594	2249187
1348035	2253244
1349075	2254363
1349754	2255083
1353040	2259272
1353171	2259403
1353215	2259447
1354556	2260851
1354581	2260876
1355007	2261302
1355038	2261333
1358908	2266306
1360208	2267792
1360623	2268238
1362147	2270573
1363866	2272861
1364743	2273842
1364802	2273901
1365655	2275135
1369338	2279129
1371086	2281423
1372193	2282539
1377240	2291364
1377495	2291619
1377591	2291715
1378758	2293476
1384416	2299388
1384558	2299530
1384616	2299588
1384795	2302230
1387891	2307739
1388995	2308990
1389975	2310952
1390618	2312588
1390880	2312850
1391819	2314268
1394866	2318003
1395012	2318149
1399039	2323133
1399892	2324032
1402530	2327213
1404655	2330671
1405555	2331934
1411336	2341121
1412884	2342760
1414171	2344254
1415937	2346500
1416254	2346817
