1 (source)	c
1	1
31	31
61	61
91	91
121	121
151	151
181	181
211	211
241	241
271	271
301	301
331	331
361	361
391	391
421	421
451	451
481	481
511	511
541	541
571	571
601	601
631	631
661	661
691	691
721	721
751	751
781	781
811	811
841	841
871	871
901	901
931	932
961	962
991	992
1021	1022
1051	1052
1081	1082
1111	1112
1141	1142
1171	1172
1201	1202
1231	1232
1261	1262
1291	1292
1321	1322
1351	1352
1381	1382
1411	1412
1441	1442
1471	1472
1501	1502
1531	1532
1561	1562
1591	1592
1621	1622
1651	1652
1681	1682
1711	1712
1741	1742
1771	1772
1801	1802
1831	1832
1861	1862
1891	1892
1921	1922
1951	1952
1981	1982
2011	2012
2041	2042
2071	2072
2101	2102
2131	2132
2161	2162
2191	2192
2221	2222
2251	2252
2281	2282
2311	2312
2341	2342
2371	2372
2401	2402
2431	2432
2461	2462
2491	2492
2521	2522
2551	2552
2581	2582
2611	2612
2641	2642
2671	2672
2701	2702
2731	2732
2761	2762
2791	2792
2821	2822
2851	2852
2881	2882
2911	2912
2941	2942
2971	2972
3001	3002
3031	3032
3061	3062
3091	3092
3121	3122
3151	3152
3181	3182
3211	3212
3241	3242
3271	3272
3301	3302
3331	3332
3361	3362
3391	3392
3421	3422
3451	3452
3481	3482
3511	3512
3541	3542
3571	10399
3601	10429
3631	10459
3661	10489
3691	10524
3721	10557
3751	10588
3781	10618
3811	10741
3841	10772
3871	10802
3901	10833
3931	10864
3961	10894
3991	10924
4021	10954
4051	10984
4081	11014
4111	11044
4141	11074
4171	11104
4201	11134
4231	11164
4261	11194
4291	11224
4321	11254
4351	11284
4381	11314
4411	11344
4441	11374
4471	11404
4501	11434
4531	11464
4561	11494
4591	11524
4621	11554
4651	11584
4681	11614
4711	11644
4741	11674
4771	11704
4801	11734
4831	11764
4861	11794
4891	11824
4921	11854
4951	11884
4981	11914
5011	11944
5041	11974
5071	12004
5101	12034
5131	12064
5161	12094
5191	12124
5221	12154
5251	12184
5281	12214
5311	12244
5341	12274
5371	12304
5401	12334
5431	12364
5461	12394
5491	12424
5521	12454
5551	12484
5581	12514
5611	12544
5641	12574
5671	12604
5701	12634
5731	12664
5761	12694
5791	12724
5821	12754
5851	12784
5881	12814
5911	12844
5941	12874
5971	12904
6001	12934
6031	12964
6061	12994
6091	13024
6121	13054
6151	13084
6181	13114
6211	13144
6241	13174
6271	13204
6301	13234
6331	13264
6361	13294
6391	13324
6421	13354
6451	13384
6481	13414
6511	13444
6541	13474
6571	13504
6601	13534
6631	13564
6661	13594
6691	13624
6721	13654
6751	13684
6781	13714
6811	13744
6841	13774
6871	13804
6901	13834
6931	13864
6961	13894
6991	13924
7021	13954
7051	13984
7081	14014
7111	14044
7141	14074
7171	14104
7201	14134
7231	14164
7261	14194
7291	14224
7321	14254
7351	14284
7381	14314
7411	14344
7441	14374
7471	14404
7501	14434
7531	14464
7561	14494
7591	14524
7621	14554
7651	14584
7681	14614
7711	14644
7771	14704
7801	14734
7831	14764
7861	14794
7891	14824
7921	14854
7951	14884
7981	14914
8011	14944
8041	14974
8071	15004
8101	15034
8131	15064
8161	15094
8191	15124
8221	15154
8251	15184
8341	15274
8401	15334
8431	15364
8461	15394
10141	17074
10171	17104
10201	17134
10231	17164
10261	17194
10291	17224
10321	17254
10351	17284
10381	17314
10411	17344
10441	17374
10471	17404
10501	17434
10531	17464
10591	17524
10621	17554
10651	17584
10681	17614
10711	17644
10741	17674
10771	17704
10801	17734
10831	17764
10861	17794
11341	18274
11371	18304
11401	18334
11431	18364
11461	18394
11491	18424
11521	18454
11551	18484
11581	18514
11611	18544
11641	18574
11671	18604
11701	18634
11731	18664
11761	18694
11791	18724
11821	18754
11851	18784
11881	18814
11911	18844
11941	18874
11971	18904
12001	18934
12031	18964
12061	18994
12091	19024
12121	19054
12151	19084
12181	19114
12211	19144
12241	19174
12271	19204
12301	19234
12331	19264
12361	19294
12391	19324
12421	19354
12451	19384
12481	19414
12511	19444
12541	19474
12571	19504
12601	19534
12631	19564
12661	19594
12691	19624
12721	19654
12751	19684
12781	19714
12811	19744
12841	19774
12871	19804
12901	19834
12931	19864
12961	19894
12991	19924
13021	19954
13051	19984
13081	20014
13111	20044
13141	20074
13171	20104
13201	20134
13231	20164
13261	20194
13291	20224
13321	20254
13351	20284
13381	20314
13411	20344
13441	20374
13471	20404
13501	20434
13531	20464
13561	20494
13591	20524
13621	20554
13651	20584
13681	20614
13711	20644
13741	20674
13771	20704
13801	20734
13831	20764
13861	20794
13891	20824
13921	20854
13951	20884
13981	20914
14011	20944
14041	20974
14071	21004
14101	21034
14131	21064
14161	21094
14191	21124
14221	21154
14251	21184
14281	21214
14311	21244
14341	21274
14371	21304
14401	21334
14431	21364
14461	21394
14491	21424
14521	21454
14551	21484
14581	21514
14611	21544
14641	21574
14671	21604
14701	21634
14731	21664
14761	21694
14791	21724
14821	21754
14851	21784
14881	21814
14911	21844
14941	21874
14971	21904
15001	21934
15031	21964
15061	21994
15091	22024
15121	22054
15151	22084
15181	22114
15211	22144
15241	22174
15271	22204
15301	22234
15331	22264
15361	22294
15391	22324
15421	22354
15451	22384
15481	22414
15511	22444
15541	22474
15571	22504
15601	22534
15631	22564
15661	22594
15691	22624
15721	22654
15751	22684
15781	22714
15811	22744
15841	22774
15871	22804
15901	22834
15931	22864
15961	22894
15991	22924
16021	22954
16051	22984
16081	23014
16111	23044
16141	23074
16171	23104
16201	23134
16231	23164
16261	23194
16291	23224
16321	23254
16351	23284
16381	23314
16411	23344
16441	23374
16471	23404
16501	23434
16531	23464
16561	23494
16591	23524
16621	23554
16651	23584
16681	23614
16711	23644
16741	23674
16771	23704
16801	23734
16831	23764
16861	23794
16891	23824
16921	23854
16951	23884
16981	23914
17011	23944
17041	23974
17071	24004
17101	24034
17131	24064
17161	24094
17191	24124
17221	24154
17251	24184
17281	24214
17311	24244
17341	24274
17371	24304
17401	24334
17431	24364
17461	24394
17491	24424
17521	24454
17551	24484
17581	24514
17611	24544
17641	24574
17671	24604
17701	24634
17731	24664
17761	24694
17791	24724
17821	24754
17851	24784
17881	24814
17911	24844
17941	24874
17971	24904
18001	24934
18031	24964
18061	24994
18091	25024
18121	25054
18151	25084
18181	25114
18211	25144
18241	25174
18271	25204
18301	25234
18331	25264
18361	25294
18391	25324
18421	25354
18451	25384
18481	25414
18511	25444
18541	25474
18571	25504
18601	25534
18631	25564
18661	25594
18691	25624
18721	25654
18751	25684
18781	25714
18811	25744
18841	25774
18871	25804
18901	25834
18931	25864
18961	25894
18991	25924
19021	25954
19051	25984
19081	26014
19111	26044
19141	26074
19171	26104
