2 (source)	c
738	939307
5441	944667
6639	945865
7520	949383
7592	949455
8552	950419
9070	951523
9900	954117
13519	961423
15303	964100
16202	966052
16747	968698
20814	977252
22163	981904
23732	984646
25285	987641
25720	990043
26697	992521
27592	993987
29345	997301
31428	1000995
34759	1008650
36687	1010695
41112	1017223
45743	1026637
46552	1027730
47121	1028299
48065	1029543
49151	1032396
49502	1033283
49902	1033956
50984	1035581
52168	1037834
54051	1042106
54636	1044435
55134	1046088
58397	1051188
59074	1052195
61954	1056315
63852	1060936
64967	1062666
69879	1068262
70834	1069334
72391	1072457
74486	1075550
74571	1075635
74572	1075636
75144	1076208
75962	1078133
76861	1080642
77925	1083113
83992	1095346
84248	1095602
87350	1110368
87521	1110539
88838	1113372
92479	1120864
94590	1122975
96938	1125459
97756	1126359
98446	1127272
100084	1129577
100462	1130313
102241	1134670
103206	1136131
103361	1136318
109101	1144893
109102	1144894
109177	1144969
109232	1145024
109313	1145105
111898	1149001
111923	1149026
112269	1149372
115267	1156687
116589	1158730
118413	1181147
119253	1183165
120770	1185200
130117	1202561
135093	1208211
135986	1209104
137293	1217250
139111	1220161
141349	1223100
141386	1223137
143614	1228689
144420	1230061
151160	1237119
151924	1238741
153232	1240189
153275	1240232
153280	1240237
153290	1240247
153292	1240249
153299	1240256
153333	1240290
155747	1243652
158350	1247398
160288	1250736
161881	1252532
162122	1253225
163464	1255291
164627	1257557
168629	1262701
172547	1268338
173963	1270027
174958	1271984
175316	1275261
175401	1275346
176610	1276555
177392	1277340
178657	1278891
182270	1286068
183787	1288030
185575	1290306
185656	1290387
185704	1290435
185708	1290439
185720	1290451
185733	1290464
185738	1290469
186948	1292942
188421	1296187
197138	1309078
197646	1311015
197946	1311315
199811	1313419
199952	1313563
202236	1318464
202740	1318968
205417	1322648
205846	1323415
206626	1324195
211217	1333018
211986	1334853
213716	1338203
216546	1341629
217125	1342974
218099	1344104
218894	1346805
221007	1355402
222808	1364703
227158	1373277
227609	1374020
228710	1375527
239624	1387995
240350	1388734
242121	1391696
243535	1394130
246340	1397626
246905	1399807
247021	1399923
251701	1406827
254918	1410358
259882	1417960
260128	1418206
263983	1424714
265054	1427043
265293	1429060
268169	1433441
269479	1435547
269888	1435956
271126	1437677
272619	1440606
274994	1445102
276705	1448632
278119	1451185
281157	1455766
281171	1455780
281238	1455847
281550	1456159
281557	1456166
281589	1456198
283389	1458323
284708	1461663
287476	1465726
288297	1466933
290105	1470624
291484	1473067
292296	1474933
294296	1479210
295033	1480286
302247	1489801
306176	1496182
307027	1497064
307532	1497874
308700	1499439
309605	1501522
309961	1502399
314544	1508371
315126	1509969
316131	1514259
319418	1518476
323807	1524469
326074	1527873
326375	1529017
327870	1531566
334008	1541917
335543	1546393
337646	1549534
338948	1551484
341800	1556075
343146	1557806
348061	1563295
350237	1565860
352689	1570055
352991	1570889
354788	1575523
355471	1577966
356851	1580128
362471	1586271
363598	1587704
364432	1589602
373585	1601728
373594	1601737
373693	1601836
373786	1601929
374432	1602575
374966	1603109
375796	1603939
375950	1604093
376737	1604880
376766	1604909
376803	1604946
381843	1609997
384744	1613173
385910	1615010
387261	1617761
389157	1620313
390181	1621394
390530	1621743
392754	1625267
394194	1627830
396119	1629828
397020	1631342
402364	1639459
402368	1639463
402378	1639473
403445	1642692
404401	1643817
404526	1643942
404700	1644116
405136	1645284
406141	1646346
406160	1646365
406186	1646391
406192	1646397
406222	1646427
406224	1646429
406233	1646438
406270	1646475
406292	1646497
408461	1649594
410567	1653232
411286	1653951
412402	1655067
415284	1660213
416221	1661930
419432	1666820
419866	1668198
420988	1670019
423213	1672715
426284	1677072
426606	1678267
434168	1687901
436060	1691288
436922	1694257
439797	1699410
440434	1700126
442098	1702954
443160	1704109
445412	1706671
446239	1707933
446288	1707982
446316	1708010
446385	1708079
446469	1708163
446583	1708277
446585	1708279
446817	1708511
447338	1709165
447344	1709171
449493	1711779
449957	1713116
450288	1713498
450308	1713518
450317	1713527
450320	1713530
450323	1713533
450330	1713540
450335	1713545
450814	1714094
459612	1726194
460054	1727257
463487	1731854
467358	1736609
468869	1739188
471792	1743694
472691	1744704
473096	1745648
476547	1750493
479208	1754289
480491	1756298
482020	1758730
482569	1760899
491674	1772790
493361	1775407
494764	1778248
495947	1780514
496603	1783435
496781	1783613
496854	1783686
497002	1783836
501960	1791371
502514	1792369
503686	1794149
504800	1796279
505869	1803865
506957	1806268
508359	1810563
509189	1812100
509710	1813022
510543	1814136
524673	1831214
527540	1835050
528104	1836138
528668	1837331
529010	1838472
529414	1839280
531830	1843383
533507	1845932
534332	1847280
536061	1851500
536435	1851878
537930	1855293
539929	1857870
540694	1860266
541222	1861357
542191	1862915
542699	1863599
542795	1863695
543021	1863921
543125	1864025
544194	1865340
546205	1868831
549773	1873252
551921	1876642
552373	1877562
552963	1878722
555039	1881540
556049	1884022
557202	1886378
557394	1886574
557453	1886633
557457	1886637
557529	1886709
557587	1886767
557734	1886914
558244	1887424
562165	1892130
563015	1893788
564366	1896026
564875	1897119
569012	1902768
569268	1903430
569986	1904611
570760	1906031
572942	1908385
573621	1909897
574451	1911720
575052	1913032
575082	1913062
575087	1913067
575858	1914261
577062	1916171
578034	1917939
578933	1919884
579817	1921463
580421	1922393
585531	1928853
586898	1932061
587340	1934348
588953	1936672
590098	1937876
592684	1941017
593405	1942522
594723	1945569
595477	1946785
596449	1948756
597502	1950260
597674	1950800
597798	1950924
598104	1951832
599149	1953200
601741	1957864
602291	1959278
604070	1964972
605817	1968762
607849	1971420
610436	1974646
611969	1976302
614494	1980337
618705	1985050
623273	1991071
623370	1991168
625028	1992826
625993	1993791
630058	2000088
633298	2003606
634369	2004677
634417	2004725
634464	2004772
635440	2005989
638991	2010623
639421	2011595
639436	2011610
639566	2011740
641784	2014799
642963	2016809
646385	2020937
650228	2025334
652079	2027185
652505	2027978
655777	2032775
657986	2035512
659685	2037737
661807	2040937
666312	2046428
666353	2046469
667263	2047582
668010	2048760
669706	2055009
670706	2057134
672282	2061710
673326	2064361
675253	2076708
676086	2078142
679205	2081760
681064	2084469
685251	2089929
691178	2098113
691316	2098251
691372	2098307
692451	2100232
693223	2101745
696581	2106616
697988	2108130
