2 (source)	c
4351	943577
6504	945730
8155	950018
8930	951371
9792	953957
10381	954819
13385	961289
16959	968910
17008	968959
17158	969130
17923	970205
19009	971662
19712	972456
20116	973046
20781	977219
20911	977379
27441	993439
28403	994982
29226	997113
29888	998100
31740	1001467
32627	1003600
32640	1003613
32655	1003628
33184	1005236
33263	1005315
35802	1009693
36119	1010010
36293	1010184
37924	1014034
39303	1015413
39877	1015987
39889	1015999
40023	1016133
40102	1016212
40111	1016221
40690	1016800
41042	1017152
44507	1025030
45492	1026015
45656	1026549
46358	1027536
46731	1027909
47338	1028516
47634	1029111
47774	1029251
48000	1029477
53235	1040230
53257	1040252
58494	1051285
58553	1051344
61669	1055621
61890	1056251
62111	1056472
64557	1062256
64962	1062661
70697	1069140
71515	1070528
72214	1072280
74739	1075803
75070	1076134
75309	1076373
75382	1076446
76242	1078829
77742	1082790
81038	1087109
85314	1098494
87253	1110271
90342	1118727
91667	1120052
95099	1123484
95536	1123921
96325	1124710
96336	1124721
98070	1126673
99364	1128857
100053	1129546
103608	1136565
106611	1140041
109089	1144881
110548	1146340
111320	1147450
112447	1149566
114600	1154579
116357	1158495
117263	1159694
117855	1160636
118413	1181147
118661	1181395
119762	1184167
124621	1190117
124987	1190483
126158	1192360
127910	1198046
128908	1201352
129032	1201476
129171	1201615
134465	1207583
135588	1208706
135647	1208765
135779	1208897
135966	1209084
137075	1217026
137539	1217890
138817	1219867
139492	1220939
140246	1221693
140850	1222336
141437	1223188
142269	1227074
142741	1227653
143518	1228517
143599	1228674
143881	1229164
148929	1234826
151058	1237008
153427	1240384
159628	1249211
163681	1255772
165917	1258941
165923	1258947
167232	1260498
171066	1266170
172026	1267682
172478	1268269
172481	1268272
173525	1269532
174112	1270183
176164	1276109
176762	1276707
176926	1276871
178727	1278961
182897	1286745
185791	1290522
185798	1290529
186089	1290892
186472	1292259
192793	1301592
197700	1311069
197751	1311120
197802	1311171
200065	1313676
200580	1314334
200653	1314407
201237	1315133
201887	1315836
205113	1322344
205241	1322472
206071	1323640
206283	1323852
207290	1325369
208907	1328455
210363	1330753
211087	1332888
214680	1339756
216140	1341216
217959	1343964
218052	1344057
218932	1346843
218979	1346892
222668	1364542
224739	1368903
226202	1371226
229882	1377189
233056	1380578
233246	1380905
233647	1381308
235832	1383694
239747	1388118
244792	1395639
247261	1400172
251456	1406557
254601	1410041
254790	1410230
258826	1415607
259401	1416338
260884	1419327
261301	1419883
261588	1420242
263398	1422796
264897	1426886
265434	1429443
265789	1429798
266770	1431527
268657	1434087
268954	1435022
269574	1435642
269829	1435897
270046	1436114
270168	1436236
270804	1437349
272432	1440413
272483	1440464
274361	1444467
274810	1444916
275794	1446568
278960	1452417
281647	1456256
281743	1456352
282831	1457751
283196	1458116
287175	1465415
287732	1466074
288176	1466801
289134	1467919
289876	1469078
290603	1471327
291247	1472826
291980	1473967
291983	1473970
294889	1480024
301807	1489351
303452	1492608
305610	1495616
305968	1495974
306308	1496314
315486	1510372
317364	1515678
319331	1518389
321435	1520914
322185	1522794
323071	1523680
323238	1523847
323594	1524203
325127	1526027
325138	1526038
325287	1526187
329063	1533184
329618	1535494
333313	1541222
335176	1543587
339690	1552376
341616	1555891
346300	1561534
347994	1563228
350969	1566991
351307	1567347
352135	1568952
356162	1578657
361983	1585780
364379	1589549
364441	1589611
366855	1592748
367214	1593184
371250	1599004
372422	1600217
372718	1600573
372923	1600778
373547	1601690
376948	1605091
379030	1607173
380758	1608901
384545	1612973
386425	1615943
386964	1617283
390518	1621731
392678	1625191
395963	1629613
401306	1637367
402572	1639667
402605	1639700
403980	1643396
404331	1643747
404650	1644066
404936	1645084
406363	1646568
411235	1653900
411622	1654287
411984	1654649
418441	1664728
420784	1669800
423038	1672531
426133	1676921
426858	1678533
429000	1681249
435816	1690742
436401	1693736
436537	1693872
436858	1694193
436894	1694229
437687	1695607
437999	1695944
439224	1698837
440245	1699937
444311	1705480
444604	1705773
444642	1705811
445749	1707153
446585	1708279
446741	1708435
447425	1709252
448383	1710500
448786	1710903
449209	1711478
449843	1713002
450555	1713835
452739	1716390
453518	1717899
454201	1718712
456513	1721171
457496	1723052
457827	1723645
458582	1724675
458644	1724737
460663	1728181
466969	1736219
467717	1737014
469481	1740094
469589	1740202
470106	1741148
470965	1742129
475392	1748544
477980	1752046
479365	1754472
480511	1756318
481944	1758640
481963	1758659
482356	1759084
482451	1760781
494290	1777216
496802	1783634
496933	1783765
497803	1785020
498443	1786250
500158	1788218
500672	1789082
500683	1789093
501133	1789671
501590	1790837
503979	1794908
505363	3082924
505535	1803524
510456	1814035
510727	1814320
510750	1814343
510829	1814529
511579	1815330
512654	1816615
513128	1818337
513191	1818400
513850	1819059
514496	1819727
514946	1820277
516405	1822663
516485	1822743
520331	1826589
522618	1828876
523261	1829519
523546	1829804
524160	1830439
525048	1831631
526239	1833091
527524	1835034
527970	1835505
527983	1835518
529038	1838500
530929	1842013
531690	1843243
532576	1844247
534941	1849182
537830	1855178
542093	1862817
543085	1863985
544124	1865185
544376	1865522
545866	1867744
546507	1869429
547041	1870010
548689	1872124
550686	1874622
551098	1875041
551744	1876421
552747	1878030
552769	1878052
553695	1879510
555435	1882945
556183	1884156
556359	1884660
559206	1888386
561291	1890471
562869	1893136
563214	1893990
564330	1895990
571556	1906831
572016	1907427
572846	1908285
573377	1908820
573745	1910115
574238	1911493
575300	1913280
576376	1914894
577324	1916449
579729	1921375
582266	1924932
584408	1927179
584973	1927744
585068	1927876
585307	1928471
586185	1929858
588000	1935168
589885	1937662
591547	1939811
592071	1940335
592931	1941645
593340	1942457
597119	1949869
598021	1951147
599129	1952926
600622	1955243
600706	1955327
600779	1955438
603723	1964262
603916	1964632
604517	1966082
606803	1970370
607238	1970805
607687	1971257
610149	1974246
612479	1976954
615955	1981836
616703	1982584
618094	1984270
618267	1984491
621803	1989148
624118	1991916
625931	1993729
626132	1993932
627465	1995368
631513	2001597
632832	2003140
633290	2003598
633317	2003625
634170	2004478
634556	2004864
635077	2005593
639661	2011835
641336	2014349
641544	2014557
646118	2020309
647579	2022481
651933	2027039
652071	2027177
652113	2027219
655337	2032301
656917	2034313
657329	2034848
657797	2035316
666482	2046598
666661	2046792
670590	2057018
673961	2065167
675146	2076597
675479	2076949
676740	2078870
683350	2087723
683414	2087787
684421	2089088
684484	2089151
684598	2089265
685033	2089700
688476	2094281
689844	2095947
691036	2097659
691619	2098554
692097	2099878
692790	2100860
693786	2102495
699324	2111361
699341	2111378
700408	2114798
701559	2117075
701562	2117078
702008	2117524
703561	2121839
703575	2121853
713103	2136639
713147	2136683
714040	2137847
714126	2137933
717583	2142560
718628	2146182
721973	2153469
723567	2155764
724295	2156763
726987	2161787
727417	2162217
727478	2162278
728047	2162847
729576	2165273
729961	2166685
731135	2168248
734006	2172743
734018	2172755
735324	2174061
736044	2174841
736767	2186309
736787	2186329
738433	2187975
739708	2189250
741070	2190612
746702	2213991
746716	2214005
748530	2216498
749790	2220157
751992	2223164
753093	2224573
753095	2224575
753123	2224605
755945	2231821
756787	2237738
757798	2239804
758332	2241065
760603	2244706
763626	2249125
764693	2250768
767270	2254993
771458	2264274
771487	2264303
771547	2264363
776398	2271445
776857	2272127
776898	2272168
777078	2272772
777087	2272781
781361	2281191
782584	2283167
785489	2289241
786832	2290584
787472	2291224
787520	2291272
788065	2292148
788247	2293134
788278	2293165
788579	2293466
789556	2300036
789913	2300393
790406	2300886
792006	2302722
795277	2307378
796022	2308193
797715	2310523
797863	2310671
800004	2313502
800935	2314786
801912	2315945
802857	2318666
804547	2320729
808599	2327061
810574	2329666
811351	2330443
811464	2330556
813615	2338221
815795	2340401
818067	2343707
818515	2344480
822251	2350858
823626	2353147
825236	2355516
828645	2359936
829667	2361234
829736	2361303
834867	2368036
836059	2370551
838455	2373292
838510	2373347
844413	2380608
845860	2382522
845999	2382661
846545	2386384
850156	2390799
852154	2393137
853731	2394828
854348	2395626
856883	2398512
858225	2400301
859101	2401480
864319	2409217
866497	2411564
867432	2413051
867788	2413407
868249	2413868
868742	2414361
869426	2415045
870620	2417011
870640	2417031
873193	2420727
873406	2420952
877315	2425787
878597	2427495
878714	2427625
882290	2432533
884508	2435520
885633	2437293
886519	2439753
888761	2443779
891751	2447154
893296	2450652
897511	2457569
897773	2458535
900121	2464753
901282	2466285
901892	2467054
902084	2467257
903619	2471624
905036	2473942
906872	2477697
907647	2479490
907672	2479515
907861	2480375
913592	2486828
918702	2496479
918896	2496673
924398	2506339
926205	2509343
932724	2529440
932814	2529530
933348	2530166
942422	2541103
942723	2541404
