1 (source)	c
1	1
30	30
60	60
90	90
120	120
150	150
180	180
210	210
240	240
270	270
300	300
330	330
360	360
390	390
420	420
450	450
480	480
510	510
540	540
570	570
600	600
630	630
660	660
690	690
720	720
750	750
780	780
810	810
840	840
870	870
900	900
930	931
960	961
990	991
1020	1021
1050	1051
1080	1081
1110	1111
1140	1141
1170	1171
1200	1201
1230	1231
1260	1261
1290	1291
1320	1321
1350	1351
1380	1381
1410	1411
1440	1441
1470	1471
1500	1501
1530	1531
1560	1561
1590	1591
1620	1621
1650	1651
1680	1681
1710	1711
1740	1741
1770	1771
1800	1801
1830	1831
1860	1861
1890	1891
1920	1921
1950	1951
1980	1981
2010	2011
2040	2041
2070	2071
2100	2101
2130	2131
2160	2161
2190	2191
2220	2221
2250	2251
2280	2281
2310	2311
2340	2341
2370	2371
2400	2401
2430	2431
2460	2461
2490	2491
2520	2521
2550	2551
2580	2581
2610	2611
2640	2641
2670	2671
2700	2701
2730	2731
2760	2761
2790	2791
2820	2821
2850	2851
2880	2881
2910	2911
2940	2941
2970	2971
3000	3001
3030	3031
3060	3061
3090	3091
3120	3121
3150	3151
3180	3181
3210	3211
3240	3241
3270	3271
3300	3301
3330	3331
3360	3361
3390	3391
3420	3421
3450	3451
3480	3481
3510	3511
3540	3541
3570	10398
3600	10428
3630	10458
3660	10488
3690	10523
3720	10556
3750	10587
3780	10617
3810	10740
3840	10771
3870	10801
3900	10832
3930	10863
3960	10893
3990	10923
4020	10953
4050	10983
4080	11013
4110	11043
4140	11073
4170	11103
4200	11133
4230	11163
4260	11193
4290	11223
4320	11253
4350	11283
4380	11313
4410	11343
4440	11373
4470	11403
4500	11433
4530	11463
4560	11493
4590	11523
4620	11553
4650	11583
4680	11613
4710	11643
4740	11673
4770	11703
4800	11733
4830	11763
4860	11793
4890	11823
4920	11853
4950	11883
4980	11913
5010	11943
5040	11973
5070	12003
5100	12033
5130	12063
5160	12093
5190	12123
5220	12153
5250	12183
5280	12213
5310	12243
5340	12273
5370	12303
5400	12333
5430	12363
5460	12393
5490	12423
5520	12453
5550	12483
5580	12513
5610	12543
5640	12573
5670	12603
5700	12633
5730	12663
5760	12693
5790	12723
5820	12753
5850	12783
5880	12813
5910	12843
5940	12873
5970	12903
6000	12933
6030	12963
6060	12993
6090	13023
6120	13053
6150	13083
6180	13113
6210	13143
6240	13173
6270	13203
6300	13233
6330	13263
6360	13293
6390	13323
6420	13353
6450	13383
6480	13413
6510	13443
6540	13473
6570	13503
6600	13533
6630	13563
6660	13593
6690	13623
6720	13653
6750	13683
6780	13713
6810	13743
6840	13773
6870	13803
6900	13833
6930	13863
6960	13893
6990	13923
7020	13953
7050	13983
7080	14013
7110	14043
7140	14073
7170	14103
7200	14133
7230	14163
7260	14193
7290	14223
7320	14253
7350	14283
7380	14313
7410	14343
7440	14373
7470	14403
7500	14433
7530	14463
7560	14493
7590	14523
7620	14553
7650	14583
7680	14613
7710	14643
7740	14673
7770	14703
7800	14733
7830	14763
7860	14793
7890	14823
7920	14853
7950	14883
7980	14913
8010	14943
8040	14973
8070	15003
8100	15033
8130	15063
8160	15093
8190	15123
8220	15153
8250	15183
8340	15273
8370	15303
8400	15333
8430	15363
8460	15393
9480	16413
9510	16443
10140	17073
10170	17103
10200	17133
10230	17163
10260	17193
10290	17223
10320	17253
10350	17283
10380	17313
10410	17343
10440	17373
10470	17403
10500	17433
10530	17463
10560	17493
10590	17523
10620	17553
10650	17583
10680	17613
10710	17643
10740	17673
10770	17703
10800	17733
10830	17763
10860	17793
11340	18273
11370	18303
11400	18333
11430	18363
11460	18393
11490	18423
11520	18453
11550	18483
11580	18513
11610	18543
11640	18573
11670	18603
11700	18633
11730	18663
11760	18693
11790	18723
11820	18753
11850	18783
11880	18813
11910	18843
11940	18873
11970	18903
12000	18933
12030	18963
12060	18993
12090	19023
12120	19053
12150	19083
12180	19113
12210	19143
12240	19173
12270	19203
12300	19233
12330	19263
12360	19293
12390	19323
12420	19353
12450	19383
12480	19413
12510	19443
12540	19473
12570	19503
12600	19533
12630	19563
12660	19593
12690	19623
12720	19653
12750	19683
12780	19713
12810	19743
12840	19773
12870	19803
12900	19833
12930	19863
12960	19893
12990	19923
13020	19953
13050	19983
13080	20013
13110	20043
13140	20073
13170	20103
13200	20133
13230	20163
13260	20193
13290	20223
13320	20253
13350	20283
13380	20313
13410	20343
13440	20373
13470	20403
13500	20433
13530	20463
13560	20493
13590	20523
13620	20553
13650	20583
13680	20613
13710	20643
13740	20673
13770	20703
13800	20733
13830	20763
13860	20793
13890	20823
13920	20853
13950	20883
13980	20913
14010	20943
14040	20973
14070	21003
14100	21033
14130	21063
14160	21093
14190	21123
14220	21153
14250	21183
14280	21213
14310	21243
14340	21273
14370	21303
14400	21333
14430	21363
14460	21393
14490	21423
14520	21453
14550	21483
14580	21513
14610	21543
14640	21573
14670	21603
14700	21633
14730	21663
14760	21693
14790	21723
14820	21753
14850	21783
14880	21813
14910	21843
14940	21873
14970	21903
15000	21933
15030	21963
15060	21993
15090	22023
15120	22053
15150	22083
15180	22113
15210	22143
15240	22173
15270	22203
