1 (source)	c
79	79
3011	3012
3492	3493
4182	11115
4417	11350
4445	11378
5447	12380
6650	13583
8267	15200
11465	18398
13350	20283
13459	20392
13460	20393
16055	22988
16100	23033
16218	23151
17405	24338
17970	24903
18495	25428
18572	25505
20196	27129
22858	33531
22874	33547
25764	36437
26047	36720
26289	36962
26583	37256
27876	38549
30702	41375
31442	42115
31840	42513
32173	42846
32709	43382
32736	43409
39999	50672
40328	51001
40417	51090
40441	51114
41241	70408
43215	72382
43245	72412
43636	72803
43707	72874
43854	73021
44008	73175
46916	80498
49006	82588
50458	90006
51421	90969
52172	91720
52772	92320
53072	92620
53267	92815
54017	93565
55991	95539
58204	97752
58512	98060
58619	98167
59253	98801
59887	99435
60840	100388
62187	101735
62874	102422
62881	102429
63842	103390
63878	103426
65059	104607
67790	107338
68746	108294
69554	109102
69958	109506
71318	110866
71464	111012
72754	112302
73749	113297
74149	113697
79055	118603
79066	118614
79878	119426
79963	119511
79976	119524
81178	120726
82730	122278
83892	123440
84169	123717
84184	123732
84494	124042
84547	124095
85046	124594
85282	124830
85877	125425
86696	126244
90488	130036
92059	131607
93190	132738
93728	133276
94346	133894
94490	134038
94726	134274
95505	135053
95842	135390
96186	135734
96203	135751
96457	136005
96480	136028
96496	136044
99063	138611
99129	138677
104059	143607
105115	144663
105252	144800
106822	146370
106942	146490
107006	146554
107235	146783
108237	147785
108356	147904
108646	148194
108825	148373
109045	148593
109209	148757
109338	148886
109667	149215
110382	149930
110490	150038
110632	150180
111772	151320
112205	151753
113517	153065
118685	158233
120548	160098
124002	163552
124464	164014
125915	165465
126192	165742
126379	165929
126566	167125
129043	169602
129322	170975
129355	171008
129858	171511
130548	172201
-132058	301428
-135690	297796
-135701	297785
-142131	291355
-142424	291062
-142517	290969
-146720	286766
-148584	284902
-150914	282572
-150918	282568
-152768	280718
-153292	280194
-153349	280137
-153454	280032
-153715	279771
-153984	279502
-154020	279466
-154244	279242
-154541	278945
-154586	278900
-155957	277529
-156781	276705
-157864	275622
-158747	274739
-159800	273686
-159942	273544
-160014	273472
-161262	272224
-164126	269360
-164973	268513
-169575	263911
-171472	262014
-171535	261951
-171829	261657
-172188	261298
-175848	257638
-176705	256781
-178226	255260
-179050	254436
-179153	254333
-180371	253115
-181467	188336
-182084	187719
-185083	184720
-185941	183862
-186201	183602
-186988	182815
-187155	182648
-187329	182474
-191866	177937
-192244	177559
-196033	173770
-196402	173401
198400	661358
199555	662513
200555	663513
200617	663575
206973	675376
207274	675677
213483	703048
215740	705305
217198	706763
217258	706823
217857	707422
218450	708015
219190	708755
222675	712240
229368	718933
230650	720215
232067	721632
232076	721641
232369	721934
233059	722624
233179	722744
234643	732177
234745	732279
234860	732769
235084	733100
235190	733206
236787	734803
239489	737505
240152	738168
240214	738230
240893	738909
241644	739660
243989	742006
244030	742047
244259	742276
247473	745490
247475	745492
247753	745770
247790	745807
247980	745997
248136	746153
248173	746190
250387	748404
252687	751760
253486	752559
255097	754771
256487	757379
257993	758885
258048	758940
258051	758943
258241	759133
260133	761025
260147	761039
260161	761053
261394	762286
262949	763841
262959	763851
266593	767485
273223	780333
273340	780450
273502	780612
274403	781513
275456	782566
275502	782612
275634	782744
280403	787513
280551	787661
283588	801307
283843	801562
284352	802071
287991	805710
288010	805729
289303	807022
290734	808453
293423	811142
294674	812393
295708	816072
297789	818153
300393	824874
303287	827768
304334	828815
306673	831154
310729	835210
311737	836218
312163	836644
312284	836765
314272	838753
318280	842761
320695	845176
322755	847236
323419	847900
324975	849456
325996	850477
327645	852126
330577	855058
333747	858228
333960	858441
338808	875275
338837	875304
340151	876618
343389	881063
344682	882356
345687	883361
345769	883443
347010	884684
347094	884768
349301	892055
350904	894005
351331	894432
352720	896470
353823	897573
355288	899038
356021	899771
356943	900693
359956	903710
360109	903863
360595	904349
361123	904877
361945	905699
363343	907097
365672	909426
371288	915042
373242	923945
374180	924884
375424	931136
376686	932398
381097	940105
381935	946328
382130	946523
383947	948438
384693	949208
386202	951786
386922	952569
386957	952604
392237	958831
392855	959691
393163	959999
394044	960880
399177	966929
399310	967062
399422	967174
401285	969094
403454	971927
406114	975106
406946	975938
407184	976176
416167	986940
416263	987053
418439	989344
418840	989745
420617	991988
421919	993404
422434	993966
426574	999085
428675	1001413
429954	1002836
430780	1003736
431707	1004775
432568	1005767
432649	1005848
433194	1006393
435475	1011233
435828	1011598
435953	1011723
437286	1013056
437662	1013432
439211	1018808
440052	1019649
442937	1022827
443953	1026353
444522	1026988
444751	1027276
451227	1036019
455563	1041108
456336	1042033
461509	1047744
461829	1048064
462096	1048331
465819	1054654
466206	1055110
466338	1055245
466489	1055638
466905	1056087
467829	1057389
470429	1060219
470660	1060450
472819	1067838
474096	1069749
474400	1070057
475211	1071553
475239	1071581
475313	1071655
475800	1072142
478897	1076957
479668	1077835
480578	1078762
481093	1079413
482143	1080510
483298	1081822
483342	1081866
489635	1089370
489718	1089453
490394	1090129
490703	1090438
490715	1090450
490751	1090486
493977	1093712
494014	1093749
494419	1095116
496896	1098495
499195	1101005
499259	1101069
499774	1101584
500036	1101846
500368	1102178
502752	1104562
505234	1107044
505455	1107265
505499	1107309
505635	1107445
505809	1107619
508138	1111062
508180	1111104
508703	1111884
509361	1112542
511286	1115380
511460	1115554
512900	1116994
513055	1117149
513477	1117571
513758	1117852
516915	1128523
517145	1128753
517777	1130142
518834	1131324
519580	1132284
520027	1132731
520079	1132783
520344	1133048
520359	1133063
522844	1135925
522868	1135949
523603	1137025
526343	1139805
526564	1140047
528700	1143372
531107	1148565
531274	1149457
531383	1149566
531773	1149956
532008	1150191
533262	1152528
533286	1152552
534136	1153402
535463	1155021
535594	1155152
536528	1156163
537324	1157114
537609	1157399
539220	1160328
539508	1160616
540240	1161458
546640	1167863
552908	1174131
553879	1175102
554173	1175396
558525	1179748
559253	1180476
559280	1180503
560029	1181813
560099	1181883
562441	1185610
562849	1186433
563493	1187120
563951	1190767
564821	1191757
565409	1192788
565428	1192807
566550	1194176
566914	1194540
567333	1195168
567366	1195201
567944	1195816
568635	1196822
568690	1196877
568878	1197065
570452	1199263
570997	1199808
571140	1199951
571745	1200556
572120	1200931
577253	1209974
577902	1210623
578135	1210875
578233	1210973
579422	1212162
583645	1216385
583686	1216426
583799	1216539
583953	1216693
584781	1217859
585069	1218212
586257	1220601
588082	1224977
589398	1226293
589418	1226313
589535	1226430
590766	1228583
591022	1228960
591848	1229837
591855	1229844
596108	1237706
596497	1238168
596549	1238220
596631	1238302
601024	1243517
604271	1247047
612569	1256907
615970	1261608
616802	1262628
619768	1266047
620937	1267349
621488	1268263
622548	1269534
622565	1269551
623857	1270953
624196	1271331
625121	1272753
626169	1273801
627511	1275143
629448	1279455
629613	1279620
629766	1279773
631351	1281358
631781	1281788
632129	1282136
632156	1282163
632158	1282165
634391	1287813
636699	1290922
636900	1291185
637077	1291365
637826	1292114
638634	1293373
638698	1293437
638987	1293726
639221	1293960
639865	1294604
639915	1294654
644567	1300830
645492	1302323
645508	1302900
646543	1304177
647076	1304844
647497	1305265
648032	1305953
648572	1306493
652225	1310604
652251	1310630
654764	1313676
655152	1314779
659015	1322131
662609	1327915
663231	1328971
663254	1328994
664543	1330426
664974	1331258
665693	1331977
665954	1332238
668692	1336015
668874	1336208
669479	1336859
669943	1337686
670318	1338062
670361	1338137
671391	1339182
671647	1339438
673003	1342765
674353	1344720
676200	1346884
676859	1347576
676867	1347584
680109	1351497
681438	1352826
681522	1352910
681963	1353351
684596	1356638
685085	1357127
685576	1357618
685990	1358032
686179	1358221
687333	1359375
687583	1359625
689570	1361612
689646	1361688
691081	1363123
691190	1363232
691741	1364360
694160	1367181
694644	1367665
695765	1368786
696143	1369419
696445	1369780
696619	1369954
699010	1373856
700322	1375198
705058	1380667
705224	1380833
705385	1381284
712231	1390441
712690	1390900
717015	1395645
718521	1397243
721148	1400052
721328	1400390
721675	1400824
723642	1402978
724509	1407096
733232	1418375
733832	1419064
734409	1419783
735754	1421528
736341	1422133
739051	1425603
739092	1425644
739928	1426658
740081	1426811
740533	1427406
740562	1427435
741949	1428822
746701	1436693
746940	1436932
746980	1436972
748756	1439829
751791	1443564
752259	1444064
752368	1444173
753811	1446361
753890	1446609
755281	1448329
756274	1449638
760238	1454293
760273	1454328
760989	1455117
763038	1459016
767235	1463775
768186	1464878
768306	1464998
768994	1465966
770623	1467875
771112	1468490
771745	1469240
775400	1473655
775437	1473692
775584	1473839
776254	1474673
777350	1476141
778553	1477766
778613	1477826
778672	1477885
778974	1478187
779438	1478651
780549	1480055
782796	1482775
784448	1484785
785191	1485650
785459	1485918
785472	1486065
786888	1490130
788555	1491837
789550	1492987
789563	1493000
792728	1499185
794400	1500928
794911	1501807
795769	1502712
797325	1504590
797941	1507492
798332	1507883
799843	1509440
802239	1512051
803268	1513080
803289	1513101
803462	1513274
804766	1514744
804881	1514938
808828	1519268
809050	1519494
809975	1520915
810380	1521324
810397	1521341
810654	1521598
810825	1521769
818571	1533268
819234	1533957
819373	1534096
820271	1534994
821652	1536661
823298	1538600
824693	1542479
825552	1543585
827512	1545565
827919	1545972
829128	1547359
831321	1549911
832552	1551392
833400	1552378
833667	1552658
835782	1555484
837199	1557756
837516	1558089
837772	1558345
840091	1565553
841007	1566563
841462	1567348
844388	1570766
