1 (source)	c
4402	11335
5403	12336
16042	22975
30625	41298
30669	41342
31425	42098
32710	43383
41206	70373
43560	72727
46858	80440
48177	81759
51867	91415
58449	97997
60783	100331
63781	103329
69547	109095
72624	112172
72741	112289
79257	118805
79829	119377
80474	120022
83457	123005
83749	123297
86602	126150
95315	134863
95489	135037
107109	146657
107171	146719
108520	148068
108582	148130
109117	148665
111564	151112
112194	151742
118674	158222
124408	163958
125743	165293
125849	165399
127604	168163
129173	170823
129234	170887
129279	170932
-131865	301621
-135649	297837
-135675	297811
-153935	279551
-153944	279542
-157511	275975
-158610	274876
-158672	274814
-158709	274777
-159763	273723
-161212	272274
-163799	269687
-164107	269379
-171484	262002
-176677	256809
-180698	252788
-186181	183622
198170	661128
199624	662582
200180	663138
200478	663436
217209	706774
217653	707218
217743	707308
218815	708380
222686	712251
230630	720195
232856	722421
232877	722442
232995	722560
233306	722871
234632	732166
241573	739589
247718	745735
257709	758601
257788	758680
257917	758809
262791	763683
262914	763806
275603	782713
280490	787600
280527	787637
283703	801422
287964	805683
300172	820536
300277	824754
300312	824793
311772	836253
322750	847231
326256	850737
326289	850770
333691	858172
333738	858219
333866	858347
333913	858394
333941	858422
344620	882294
352514	895615
352620	896370
352717	896467
358905	902659
359277	903031
360582	904336
365526	909280
365647	909401
365681	909435
375398	931110
375668	931380
380893	939895
381732	946125
381996	946389
385081	950585
386094	951674
390551	956929
393937	960773
393982	960818
395657	962932
396969	964559
398657	966408
404334	973125
408385	977629
413068	983374
415026	985699
417055	987950
418069	988974
418116	989021
419256	990300
421834	993319
423817	995409
426876	999409
428378	1001095
428601	1001339
429914	1002713
429916	1002715
433019	1006218
435581	1011340
437246	1013016
437905	1017356
444352	1026817
446216	1030384
448083	1032532
448822	1033333
450478	1035217
451467	1036373
453210	1038329
456052	1041619
456503	1042212
458626	1044494
460243	1046290
468224	1057875
471654	1061800
472163	1062861
473338	1068430
473777	1069430
479276	1077443
480052	1078221
480922	1079242
480998	1079318
481045	1079365
482443	1080846
489769	1089504
490283	1090018
493882	1093617
494320	1094055
494419	1095116
494766	1095483
497848	1099658
499045	1100855
501041	1102851
503713	1105523
504872	1106682
505289	1107099
507974	1110898
509284	1112465
