2 (source)	c
30	3082175
60	3082205
90	3082235
120	3082265
180	3082325
210	3082355
540	939108
570	939138
960	939565
990	939598
1140	939793
1170	939841
1260	939932
1290	940516
1320	940546
1350	940576
1380	940606
1410	940636
1440	940666
1470	940696
1500	940726
1530	940756
1560	940786
1590	940816
1620	940846
1650	940876
1680	940906
1710	940936
1770	940996
1800	941026
1830	941056
1860	941086
1890	941116
1920	941146
1950	941176
1980	941206
2040	941266
2070	941296
2100	941326
2130	941356
2160	941386
2190	941416
2220	941446
2250	941476
2280	941506
2310	941536
2340	941566
2370	941596
2400	941626
2430	941656
2460	941686
2490	941716
2520	941746
2550	941776
2580	941806
2610	941836
2640	941866
2670	941896
2700	941926
2730	941956
2760	941986
2790	942016
2820	942046
2850	942076
2880	942106
2910	942136
2940	942166
2970	942196
3000	942226
3030	942256
3060	942286
3090	942316
3120	942346
3150	942376
3180	942406
3210	942436
3240	942466
3330	942556
3360	942586
3390	942616
3420	942646
3450	942676
3480	942706
3510	942736
3540	942766
3570	942796
3600	942826
3630	942856
3660	942886
3690	942916
3720	942946
3750	942976
3780	943006
3810	943036
3840	943066
3870	943096
3900	943126
3930	943156
3960	943186
3990	943216
4020	943246
4050	943276
4080	943306
4110	943336
4140	943366
4170	943396
4200	943426
4230	943456
4260	943486
4290	943516
4320	943546
4350	943576
4380	943606
4410	943636
4440	943666
4470	943696
4500	943726
4530	943756
4560	943786
4590	943816
4620	943846
4650	943876
4680	943906
4710	943936
4740	943966
4770	943996
4800	944026
4830	944056
4860	944086
4890	944116
4920	944146
4980	944206
5010	944236
5040	944266
5070	944296
5100	944326
5130	944356
5160	944386
5190	944416
5220	944446
5250	944476
5280	944506
5310	944536
5340	944566
5370	944596
5400	944626
5430	944656
5460	944686
5490	944716
5520	944746
5550	944776
5580	944806
5610	944836
5640	944866
5700	944926
5730	944956
5760	944986
5790	945016
5880	945106
5910	945136
5940	945166
6000	945226
6030	945256
6060	945286
6090	945316
6120	945346
6150	945376
6180	945406
6210	945436
6240	945466
6270	945496
6300	945526
6330	945556
6360	945586
6390	945616
6420	945646
6450	945676
6480	945706
6510	945736
6540	945766
6570	945796
6600	945826
6630	945856
6660	945886
6690	945916
6720	945946
6750	945976
6780	946006
6810	946053
6840	946083
6870	946113
6900	946143
6930	946173
6960	947677
6990	947707
7020	947737
7050	947767
7080	947797
7110	947827
7140	947874
7170	947910
7200	947940
7230	947970
7260	948005
7290	948039
7320	948740
7350	948770
7380	948800
7410	948830
7440	948860
7470	949333
7500	949363
7530	949393
7560	949423
7590	949453
7620	949483
7650	949513
7680	949543
7710	949573
7740	949603
7770	949633
7800	949663
7830	949693
7860	949723
7890	949753
7920	949783
7950	949813
7980	949843
8010	949873
8040	949903
8070	949933
8100	949963
8130	949993
8160	950023
8190	950053
8220	950083
8250	950113
8280	950143
8310	950173
8340	950203
8370	950233
8400	950263
8430	950293
8460	950323
8490	950353
8520	950384
8550	950417
8580	950447
8610	950477
8640	950507
8670	950537
8700	950568
8730	950598
8760	950668
8790	950698
8820	950728
8850	951291
8880	951321
8910	951351
8940	951381
8970	951423
9000	951453
9030	951483
9060	951513
9090	951543
9120	951581
9150	951611
9180	951641
9210	951671
9240	951718
9270	951748
9300	951778
9330	952164
9360	952194
9390	952224
9420	952254
9450	952848
9480	952881
9510	952911
9540	952941
9570	952971
9600	953001
9630	953795
9660	953825
9690	953855
9720	953885
9750	953915
9780	953945
9810	953975
9840	954005
9870	954046
9900	954117
9930	954147
9960	954181
9990	954211
10020	954443
10050	954473
10080	954503
10110	954533
10140	954563
10170	954608
10200	954638
10230	954668
10260	954698
10290	954728
10320	954758
10350	954788
10380	954818
10410	954848
10440	954878
10470	954908
10500	954938
10530	954968
10560	954998
10590	955028
10620	955058
10650	955088
10680	955118
10710	955148
10740	955178
10770	955208
10800	955238
10830	955278
10860	955308
10890	955411
10920	955441
10950	955471
10980	955558
11010	955588
11040	955618
11070	955648
11100	955678
11130	955708
11160	955738
11190	955768
11220	955798
11250	955828
11280	955899
11310	955929
11340	955959
11370	955989
11400	956020
11430	956050
11460	956080
11490	956122
11520	956159
11550	956232
11580	956262
11610	956292
11640	956322
11670	956352
11700	956382
11730	956412
11760	956442
11790	956472
11820	956502
11850	956532
11880	956562
11910	956804
11940	956834
11970	956864
12000	956894
12030	956924
12060	956954
12090	957120
12120	957150
12150	957180
12180	958150
12210	958180
12240	958210
12270	958240
12300	958270
12330	958300
12360	958331
12390	958364
12420	958394
12450	958425
12480	958455
12510	958485
12540	958515
12570	958545
12600	959018
12630	959048
12660	959078
12690	959275
12720	959305
12750	959335
12780	959365
12810	959395
12840	959425
12870	959455
12900	959485
12930	959515
12960	959545
12990	959575
13020	959620
13050	960954
13080	960984
13110	961014
13140	961044
13170	961074
13200	961104
13230	961134
13260	961164
13290	961194
13320	961224
13350	961254
13380	961284
13410	961314
13440	961344
13470	961374
13500	961404
13530	961434
13560	961464
13590	961494
13620	961524
13650	961614
13680	961644
13710	961674
13740	961704
13770	961734
13800	961764
13830	961794
13860	961824
13890	961854
13920	961884
13950	961914
13980	961944
14010	961974
14040	962004
14070	962062
14100	962092
14130	962122
14160	962152
14190	962182
14220	962212
14250	962251
14280	962293
14310	962327
14340	962527
